nome;id1;id2;id3;id4;id5;id6;id7;id8;id9;id10;id11
Gheos;1;43;155;265;309;;;;;;
Trematerra;2;44;266;310;399;493;;;;;
Schienacciaio;3;45;267;311;261;396;400;;;;
Furia Cieca;4;46;268;312;;;;;;;
Gravitus;5;47;269;313;263;;;;;;
Talps;6;48;270;314;;;;;;;
Scovanascondigli;7;49;271;315;;;;;;;
Tasarau;8;50;156;272;316;;;;;;
Mimeticus;9;51;273;317;402;406;;;;;
Saggio Distruttore;10;52;274;318;;;;;;;
Florus;11;53;275;319;;;;;;;
Frusta Letale;12;54;276;320;405;489;;;;;
Strapparami;13;55;277;321;;;;;;;
Picchiatore;14;56;278;322;259;;;;;;
Poivrons;15;57;159;279;323;;;;;;
Medusantica;16;58;280;324;;;;;;;
Martello;17;59;281;325;410;485;;;;;
Mantra;18;60;282;326;260;;;;;;
Tenaglia;19;61;283;327;;;;;;;
Grankios;20;62;284;328;;;;;;;
Delos;21;63;285;329;408;;;;;;
Noctis;22;64;158;286;330;;;;;;
Magica Vedetta;23;65;287;331;414;486;;;;;
Pungolo;24;66;288;332;258;;;;;;
Aquila Solitaria;25;67;289;333;417;;;;;;
Severo Guardiano;26;68;290;334;;;;;;;
Alos;27;69;291;335;;;;;;;
Becco D'Acciaio;28;70;292;336;;;;;;;
Magmion;29;71;157;293;337;420;475;528;568;625;668
Electricon;30;72;294;338;;;;;;;
Strappapensieri;31;73;295;339;257;;;;;;
Maglio Infuocato;32;74;296;340;423;492;;;;;
Insecticus;33;75;297;341;;;;;;;
Aracno;34;76;298;342;424;;;;;;
Guardiano Urlante;35;77;299;343;422;487;;;;;
Lavion;36;78;160;300;344;419;474;;;;
Anonimo Multiforme;37;79;301;345;;;;;;;
Mastodontico;38;80;302;346;264;;;;;;
Sparafuoco;39;81;303;347;427;494;;;;;
Malvagius;40;82;304;348;262;;;;;;
Lavor;41;83;305;349;426;;;;;;
Angelo Infuocato;42;84;306;350;425;;;;;;
Kolossus;85;120;;;;;;;;;
Dedalo;86;121;;;;;;;;;
Rocciatauro;87;122;397;483;;;;;;;
Diamantes;88;123;;;;;;;;;
Stalattite;89;124;;;;;;;;;
Lanciamassi;90;125;398;488;;;;;;;
Mangiaterra;91;126;;;;;;;;;
Barbataus;92;127;;;;;;;;;
Sentinella Antica;93;128;;;;;;;;;
Troncannone;94;129;403;484;;;;;;;
Supplizio;95;130;;;;;;;;;
Sporius;96;131;404;;;;;;;;
Sferst;97;132;;;;;;;;;
Immobile Paziente;98;133;;;;;;;;;
Carrapax;99;134;;;;;;;;;
Helico;100;135;;;;;;;;;
Murena;101;136;;;;;;;;;
Cavarex;102;137;409;412;;;;;;;
Multiplop;103;138;;;;;;;;;
Ipnorana;104;139;;;;;;;;;
Tartantica;105;140;411;490;;;;;;;
Elios;106;141;;;;;;;;;
Magicorvo;107;142;;;;;;;;;
Dragon;108;143;416;491;;;;;;;
Mangiamente;109;144;;;;;;;;;
Oscuro Sanguinolento;110;145;;;;;;;;;
Falcosilente;111;146;415;418;;;;;;;
Vorticus;112;147;;;;;;;;;
Orrore Profondo;113;148;421;476;;;;;;;
Incubo di Fuoco;114;149;;;;;;;;;
Misterioso Cavaliere;115;150;;;;;;;;;
Geyser;116;151;;;;;;;;;
Lamacciaio;117;152;;;;;;;;;
Incaldescente Fantasma;118;153;;;;;;;;;
Bombos;119;154;;;;;;;;;
Antico Thorg;171;215;351;;;;;;;;
Rock;172;216;352;;;;;;;;
Sabis;173;217;356;;;;;;;;
Opale Nero;174;218;353;;;;;;;;
Irpido Roccioso;175;220;355;;;;;;;;
Fossil;176;219;354;;;;;;;;
Grandalbero;177;221;357;;;;;;;;
Battiquercia;178;222;362;;;;;;;;
Paludis;179;223;358;;;;;;;;
Muschioantico;180;224;359;;;;;;;;
Ramartiglio;181;226;361;;;;;;;;
Magitronco;182;225;360;;;;;;;;
Nobilmantis;183;227;363;;;;;;;;
Linguacida;184;228;364;;;;;;;;
Imprevedibile Silente;185;229;365;;;;;;;;
Narvalion;186;230;366;;;;;;;;
Squalis;187;232;368;;;;;;;;
Tentaclos;188;231;367;;;;;;;;
Devilfenix;189;233;369;;;;;;;;
Mistica Falena;190;234;374;;;;;;;;
Beccoduro;191;235;370;;;;;;;;
Dragon;192;236;371;;;;;;;;
Crudelion;193;238;373;;;;;;;;
Magufo;194;237;372;;;;;;;;
Armageddon;195;239;375;529;569;;;;;;
Navus;196;240;376;;;;;;;;
Skorpions;197;241;377;429;;;;;;;
Forgius;198;242;380;;;;;;;;
Sentinel;199;244;379;;;;;;;;
Brags;200;243;378;430;;;;;;;
Sommo Luminescente;201;245;381;534;575;;;;;;
Comet;202;246;386;;;;;;;;
Accecante Guardiano;203;247;382;;;;;;;;
Prismagon;204;248;383;;;;;;;;
Electricante;205;250;385;;;;;;;;
Solaris;206;249;384;;;;;;;;
Obscurio;207;251;387;537;580;624;667;;;;
Lunaris;208;252;392;;;;;;;;
Ombrassassina;209;253;388;;;;;;;;
Pantanera;210;254;389;;;;;;;;
Spiritonero;211;256;391;;;;;;;;
Buconero;212;255;390;;;;;;;;
Signore della Terra;440;395;431;439;495;496;540;596;597;635;
Signore della Foresta;449;401;448;507;508;547;603;604;636;;
Signore del Mare;458;407;457;514;515;554;610;611;;;
Signore dell'Aria;467;413;466;521;522;561;617;618;;;
Mutevole Sandis;445;446;;;;;;;;;
Bu Bamboo;454;455;;;;;;;;;
Mollusco;463;464;;;;;;;;;
Freccialata;471;472;;;;;;;;;
Furia Lavica;480;481;;;;;;;;;
Cinghiataurus;502;541;;;;;;;;;
Diamantes;503;542;585;;;;;;;;
Franaroccia;504;543;586;;;;;;;;
Meteorix;505;544;;;;;;;;;
Pachidermion;506;545;;;;;;;;;
Cornolmo;509;548;587;;;;;;;;
Faunante;510;549;;;;;;;;;
Mandragoliere;511;550;;;;;;;;;
Mimante;512;551;;;;;;;;;
Querciannone;513;552;;;;;;;;;
Gorgous;516;555;;;;;;;;;
Ipnopotamo;517;556;;;;;;;;;
Sonorca;518;557;;;;;;;;;
Rospalude;519;558;;;;;;;;;
Stellante;520;559;;;;;;;;;
Bertz;523;562;588;;;;;;;;
Morsicor;524;563;;;;;;;;;
Picchiavex;525;564;;;;;;;;;
Rondor;526;565;;;;;;;;;
Sirgius;527;566;;;;;;;;;
Ciclops;530;570;;;;;;;;;
Moloch;531;571;;;;;;;;;
Urlo Cieco;532;572;;;;;;;;;
Xiron;533;573;;;;;;;;;
Plasmarei;535;576;;;;;;;;;
Luxor;536;577;;;;;;;;;
Incubuion;538;581;;;;;;;;;
Onerion;539;582;;;;;;;;;
Gorbattente della Roccia;602;603;681;714;;;;;;;
Gorbattente delle Foreste;608;609;687;719;;;;;;;
Gorbattente delle Acque;615;616;693;724;;;;;;;
Gorbattente dei Venti;622;623;699;729;;;;;;;
Gorbattente del Fuoco;632;631;638;705;734;;;;;;
Magor;634;637;735;737;;;;;;;
Lord Agrom;710;736;;;;;;;;;
Lord Piron;720;738;;;;;;;;;
