id;serie;popolo;nome;foto;video_rot;video_gim1;video_gim2;video_gim3;foto_ogg;nome_ogg;fronte_carta;retro_carta;descrizione;provenienza;collezione_standard;personaggio_posseduto;accessorio_posseduto;carta_posseduta
1;I Serie;Popolo della Terra;Gheos;gheos_s1_prova.png;;;;;;;gheos_s1.png;retro_s1.png;GHEOS, IL SIGNORE DELLA POTENZA|Il Primogenito… Lui “era” quando ancora niente esisteva!|Silenzioso, saggio e riservato.|La sua potenza è la più grande, il suo maglio devastante!;Bustina Giocheria|Blister;1;0;0;0
2;I Serie;Popolo della Terra;Trematerra;trematerra_s1_prova.png;;;;;;;trematerra_s1.png;retro_s1.png;IL TREMATERRA|”…il suo pugno si abbatte come un terremoto…”|Così cantano le canzoni popolari!|Gentile e silenzioso… è meglio però non farlo arrabbiare…;Bustina Giocheria|Blister;1;0;0;0
3;I Serie;Popolo della Terra;Schienacciaio;schienacciao_s1_prova.png;;;;;;;schienacciaio_s1.png;retro_s1.png;SCHIENACCIAIO|Il burlone del villaggio… Tenero con i cuccioli quanto implacabile col nemico!|Per difendersi si accuccia per terra diventando una vera e propria sfera d’acciaio (grazie alla sua schiena);Bustina Giocheria|Blister;1;0;0;0
4;I Serie;Popolo della Terra;Furia Cieca;furiacieca_s1_prova.png;;;;;;;furiacieca_s1.png;retro_s1.png;FURIA CIECA!I suoi occhi non vedono più… vive nell’oscurità…|Percepisce il mondo solo attraverso le sue antenne magiche che ha sulla testa. La sua rabbia distruttrice non conosce confini!;Bustina Giocheria|Blister;1;0;0;0
5;I Serie;Popolo della Terra;Gravitus;gravitus_s1_prova.png;;;;;;;gravitus_s1.png;retro_s1.png;GRAVITUS IL FORTE|Quando era cucciolo voleva diventare come Gheos… Non c’è riuscito ma la sua forza è diventata leggenda!;Bustina Giocheria|Blister;1;0;0;0
6;I Serie;Popolo della Terra;Talps;talps_s1_prova.png;;;;;;;talps_s1.png;retro_s1.png;TALPS LO SCAVABUCHE|Quando combatti con lui, devi guardarti intorno… non sei mai al sicuro… Ricordati!|Guardati sempre alle spalle, perché Talps può apparire ovunque!;Bustina Giocheria|Blister;1;0;0;0
7;I Serie;Popolo della Terra;Scovanascondigli;scovanascondigli_s1_prova.png;;;;;;;scovanascondigli_s1.png;retro_s1.png;LO SCOVANASCONDIGLI|Gli artigli non sono solo armi…Possono anche essere sensori…|Scappa! Nasconditi! Fuggi… non hai comunque nessuna speranza: lui ti scoverà ovunque!;Bustina Giocheria|Blister;1;0;0;0
8;I Serie;Popolo della Foresta;Tasarau;tasarau_s1_prova.png;;;;;;;tasarau_s1.png;retro_s1.png;TASARAU, IL SIGNORE DELLA FORESTA|Secondo a GHEOS per età, ma non per saggezza!|Con le sue possenti braccia afferra..|Con i suoi artigli, distrugge…|Un gigante che non conosce ostacoli.|Si narra che “|…quando si alza il suo urlo lamentoso, i boschi tramano… E un lento frusciare si alza dai rami…”;Bustina Giocheria|Blister;1;0;0;0
9;I Serie;Popolo della Foresta;Mimeticus;mimeticus_s1_prova.png;;;;;;;mimeticus_s1.png;retro_s1.png;MIMETICUS IL VELOCE|In pochi sono riusciti a vederlo… chi l’ha visto, difficilmente è sopravvissuto!|Veloce come il vento… corre emanando dalla testa delle spore magiche “oblianti”…|Se le respiri, perdi conoscenza e rimani fra le sue mani…;Bustina Giocheria|Blister;1;0;0;0
10;I Serie;Popolo della Foresta;Saggio Distruttore;saggiodistruttore_s1_prova.png;;;;;;;saggiodistruttore_s1.png;retro_s1.png;IL SAGGIO DISTRUTTORE|”Antico come la vita sulla terra…”|questo dicono di lui.|Sa sempre la cosa giusta da fare… Pacifico e gioioso con i nuovi cuccioli del villaggio, di cui è il protettore.|Non toccate i piccoli altrimenti la sua furia diventa inimmaginabile!!! I suoi rami allungabili sono ancora forti e potenti nonostante l’età!;Bustina Giocheria|Blister;1;0;0;0
11;I Serie;Popolo della Foresta;Florus;florus_s1_prova.png;;;;;;;florus_s1.png;retro_s1.png;FLORUS L’AVVELENATORE|Non è saggio incrociare la sua strada…|Praticamente privo di difese, vive nascosto nella vegetazione per poi attaccare i suoi nemici con le spore velenose alle quali non c’è scampo o cura!|Solitamente si nasconde fra i fiori e colpisce senza essere visto!;Bustina Giocheria|Blister;1;0;0;0
12;I Serie;Popolo della Foresta;Frusta Letale;frustaletale_s1_prova.png;;;;;;;frustaletale_s1.png;retro_s1.png;FRUSTA LETALE|È considerato a ragione uno dei più pericolosi di questo popolo.|Le sue piccole dimensioni nascondono una grande potenza!| Agile e velocissimo, con la sua mano allungabile t’imprigiona, mentre con la frusta… colpisce, distrugge, massacra…|”Nelle piccole cose vive una grande potenza…”|dicono parlando di lui.;Bustina Giocheria|Blister;1;0;0;0
13;I Serie;Popolo della Foresta;Strapparami;strapparami_s1_prova.png;;;;;;;strapparami_s1.png;retro_s1.png;STRAPPARAMI IL FURIOSO|Le sue braccia allungabili arrivano ovunque…afferrano qualsiasi cosa… stritolano tutto!!!|Particolarmente agile nella boscaglia, tutti i suoi arti possono allungarsi per molti metri, inseguendo i suoi nemici fra i rami, acciuffandoti e poi… Beh, facile da immaginare!;Bustina Giocheria|Blister;1;0;0;0
14;I Serie;Popolo della Foresta;Picchiatore;picchiatore_s1_prova.png;;;;;;;picchiatore_s1.png;retro_s1.png;IL PICCHIATORE|Si nasconde sugli alberi lasciandosi cadere giù… chi se lo è visto arrivare addosso, difficilmente può raccontarlo usando la propria bocca…! Tantissima potenza in un corpo di legno duro come l’acciaio!;Bustina Giocheria|Blister;1;0;0;0
15;I Serie;Popolo del Mare;Poivrons;poivrons_s1_prova.png;;;;;;;poivrons_s1.png;retro_s1.png;POIVRONS, IL SIGNORE DEL MARE|Molto suscettibile e permaloso…|I tentacoli della sua testa possono arrivare dovunque e soprattutto stritolare di tutto!|Se lo vedi inizia a correre… e soprattutto, corri veloce!;Bustina Giocheria|Blister;1;0;0;0
